"Virtual";"Cycles";"Delivered packets";"Received packets";"Delivery rate (flits/node/cycle)";"Arrival rate (flits/node/cycle)";"Head Latency";"Head Latency (no locks)";"Packet Latency";"Packet Latency (no locks)";"Lock cycles";"Average Path (nodes)"
2;42568;20118;20100;0.470283;0.469836;18.340750;11.128150;40.882650;33.670050;7.212600;3.676950
2;41442;20120;20101;0.483109;0.482626;18.805060;11.155892;41.465127;33.815959;7.649168;3.678866
2;40972;20122;20101;0.488676;0.488163;19.475476;11.165392;42.258287;33.948203;8.310084;3.680166
2;40124;20118;20100;0.498916;0.498455;18.779100;11.046350;41.487950;33.755200;7.732750;3.644900
2;39528;20125;20100;0.506628;0.505970;20.412450;11.281200;43.502700;34.371450;9.131250;3.698200
2;38817;20120;20101;0.515779;0.515264;20.613669;11.212939;43.715264;34.314534;9.400730;3.678766
2;38208;20120;20100;0.524000;0.523451;21.836400;11.215050;45.187750;34.566400;10.621350;3.672150
2;37592;20124;20100;0.532693;0.532028;21.611200;11.256000;44.989250;34.634050;10.355200;3.680300
2;37078;20126;20102;0.540132;0.539457;22.912809;11.250775;46.451455;34.789421;11.662034;3.672283
2;36489;20135;20100;0.549097;0.548110;23.315800;11.254550;46.912700;34.851450;12.061250;3.670400
2;36048;20133;20100;0.555759;0.554816;24.105150;11.354750;47.918750;35.168350;12.750400;3.687250
2;35282;20131;20100;0.567768;0.566861;25.490250;11.341850;49.518100;35.369700;14.148400;3.683650
2;35107;20132;20100;0.570627;0.569687;25.728800;11.324150;49.726000;35.321350;14.404650;3.675150
2;34597;20126;20100;0.578865;0.578085;26.318350;11.331350;50.395550;35.408550;14.987000;3.677400
2;33879;20131;20100;0.591281;0.590336;27.307050;11.360800;51.631450;35.685200;15.946250;3.678950
2;33446;20131;20100;0.598936;0.597979;27.860800;11.326600;52.303500;35.769300;16.534200;3.662500
"Virtual";"Cycles";"Delivered packets";"Received packets";"Delivery rate (flits/node/cycle)";"Arrival rate (flits/node/cycle)";"Head Latency";"Head Latency (no locks)";"Packet Latency";"Packet Latency (no locks)";"Lock cycles";"Average Path (nodes)"
4;199388;20101;20100;0.100327;0.100307;10.277550;10.255700;27.196150;27.174300;0.021850;3.678950
4;183220;20102;20101;0.109180;0.109164;10.302585;10.276886;27.393480;27.367782;0.025699;3.679866
4;169515;20103;20100;0.118024;0.117984;10.349100;10.316150;27.692700;27.659750;0.032950;3.686150
4;158764;20103;20100;0.125997;0.125973;10.349250;10.312000;27.843050;27.805800;0.037250;3.679350
4;148526;20106;20100;0.134708;0.134657;10.382050;10.337000;28.162900;28.117850;0.045050;3.679050
4;140241;20104;20100;0.142645;0.142612;10.402200;10.354600;28.302550;28.254950;0.047600;3.681350
4;131964;20100;20100;0.151590;0.151556;10.434400;10.384150;28.624850;28.574600;0.050250;3.681950
4;125363;20106;20100;0.159591;0.159537;10.458100;10.402800;28.803650;28.748350;0.055300;3.684400
4;119702;20103;20100;0.167121;0.167082;10.485800;10.423850;29.018100;28.956150;0.061950;3.686750
4;113466;20102;20100;0.176289;0.176264;10.483250;10.403550;29.156750;29.077050;0.079700;3.673350
